amount,location,device_type,merchant_category,transaction_hour,past_transaction_count,avg_spending,is_fraud
46.92680899768591,TX,Desktop,Restaurant,21,9,23.54704851668418,0
301.0121430917521,TX,Mobile,Electronics,2,9,43.25423348270265,0
131.67456935454493,FL,Desktop,Restaurant,16,9,34.17899678326542,0
91.29425537759532,TX,Desktop,Travel,11,13,74.00639191331315,0
16.962487046234628,IL,Tablet,Travel,23,14,49.33095105096776,0
16.959629191460518,TX,Desktop,Groceries,11,7,59.62548706781208,0
5.983876860868068,IL,Tablet,Groceries,19,7,59.75442563493694,0
201.12308644799396,TX,Tablet,Travel,9,6,37.20242490704656,0
91.90821536272645,IL,Tablet,Travel,6,8,51.44468281771298,0
123.12500617045903,TX,Mobile,Clothing,9,3,70.02406579506687,0
2.0799307999138623,TX,Tablet,Travel,17,7,48.48033476948456,0
350.3557475158312,CA,Desktop,Groceries,21,12,44.685218218982634,0
178.6429543354675,IL,Mobile,Travel,5,15,63.80641092295249,0
23.8687625248947,IL,Mobile,Groceries,6,8,23.996259698601783,0
20.067898874966335,IL,Mobile,Electronics,16,17,5.931729013863759,0
20.261142283225706,NY,Mobile,Travel,11,8,55.760519451390046,0
36.27537294604771,TX,Mobile,Groceries,16,11,70.48743631371195,0
74.39278308608544,IL,Mobile,Restaurant,17,12,86.03595201666687,0
56.55370667803366,NY,Mobile,Clothing,13,9,53.925660957234996,0
34.42229925539415,CA,Tablet,Groceries,10,11,66.48443950839673,0
94.63708738997987,IL,Desktop,Travel,1,11,76.36218540680474,0
15.023452872733866,IL,Desktop,Travel,20,10,50.628115308015836,0
34.551551200240226,NY,Tablet,Electronics,0,12,37.174930831579275,0
45.6277218220847,TX,Tablet,Restaurant,10,10,35.11715390936749,0
60.893468785977504,CA,Mobile,Groceries,1,12,44.10684596079537,0
153.7936011030912,IL,Mobile,Restaurant,15,12,78.98780134848056,0
22.273586212869027,TX,Tablet,Electronics,21,9,68.64502318794938,0
72.20291550331277,CA,Mobile,Clothing,2,6,45.62801385007157,0
89.75047213097605,FL,Desktop,Restaurant,19,10,74.91169985211512,0
4.756384975640855,FL,Desktop,Electronics,0,12,59.05553133753111,0
